Date,GameTimeUTC,GameTimeET,GameTime,Game,LineupSpot,Player,player_id,LineupSource,Team,Pitcher,ISO,Pitcher_HR9,HardHit,FlyBall,BarrelRate,ExitVelocity,LaunchAngle,RecentHRRate,ParkFactor,WindFactor,Matchup,FanDuel,DraftKings,BetMGM,PitcherVulnerability,BatterHand,PitcherHRWeakSide,PitcherHRSpotWeakness
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,1,Fernando Tatis Jr.,665487,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,485.0,487.0,489.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,2,Gavin Sheets,657757,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,628.0,628.0,621.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,3,Manny Machado,592518,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,498.0,484.0,497.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,4,Xander Bogaerts,593428,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,485.0,487.0,488.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,5,Jackson Merrill,701538,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,613.0,598.0,600.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,6,Ty France,664034,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,546.0,542.0,544.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,7,Nick Castellanos,592206,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,369.0,363.0,360.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,8,Sung-Mun Song,823550,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,407.0,408.0,413.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,9,Freddy Fermin,666023,confirmed,San Diego Padres,Zack Littell,0.18,2.54,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,499.0,488.0,496.0,63.77,R,BOTH,4-6
2026-05-31,2026-05-31T17:35:00+00:00,2026-05-31T13:35:00-04:00,1:35 PM,San Diego Padres vs Washington Nationals,1,James Wood,695578,confirmed,Washington Nationals,Griffin Canning,0.18,1.62,38.0,34.0,8.0,89.0,14.0,0.1,1.0,1.0,0.65,355.0,354.0,349.0,52.02,R,BOTH,4-6
